PM10Lehen,NOXLehen,RFLehen,LTLehen,O3Lehen,PM10Rud,MOXRud,RPRud,LTRud,CORud,WG,WT,GS
NaN,22.5,92,14.3,29,24.2,75.8,86,14.7,0.4,2.6,337,133
8.9,33.1,89,15.1,38,20.1,56,84,15.3,0.31,4.9,320,166
5,10.2,82,15.4,67,16.1,42.7,76,16,0.26,4.7,317,238
4,8.8,77,15.6,76,11,46,72,16,0.26,5.4,309,119
4.3,9.7,73,15.8,81,4.4,52,69,16.1,0.25,4.5,316,190
3.8,7.9,70,16.3,88,8.7,45.1,64,16.9,0.23,4.8,321,543
3.7,6.5,68,16.8,91,5.8,54.5,63,17,0.25,5,318,331
4,7.3,67,16.8,87,9.8,57.3,62,17.3,0.29,4.9,307,345
3.9,8.7,65,17.2,90,13.7,47.8,59,17.7,0.31,5,303,522
3.3,6.5,62,17.6,92,16.1,35.8,55,18.2,0.23,4.9,307,648
3,7.3,63,17.2,87,8.3,38.6,57,17.6,0.25,5.3,295,392
3.2,7.1,62,17.5,86,9.8,36.4,57,17.8,0.25,4.9,305,416
3.1,7.3,62,17.7,89,11.2,38.6,57,17.8,0.24,5,305,383
3.1,6.1,63,17.5,91,2.4,40.8,58,17.8,0.27,3.9,289,229
3.5,7.1,61,17.9,88,9,44.6,56,18.1,0.26,4.3,260,501
3.4,8.5,59,18.5,93,26.9,38.8,55,18.6,0.25,4.7,274,366
3.5,11.9,62,17.3,87,3.5,39.5,57,17.7,0.25,5.5,298,165
3.8,NaN,65,16.7,91,2.9,41.4,61,17.1,0.3,7,305,117
4.5,9.1,68,15.9,91,10.7,43.3,64,16.4,0.27,7.2,305,94
NaN,12.4,68,15.8,85,7.6,52.4,63,16.3,0.31,4.3,285,112
4.8,9.8,67,15.9,89,13.3,47,62,16.3,0.28,4.9,276,84
4.7,7.3,67,15.9,91,7,40.4,62,16.2,0.26,5.2,268,69
4.7,8,66,16.2,87,7.1,44.8,61,16.4,0.26,4.1,283,59
4.7,9.4,65,16.1,NaN,9.4,39.8,61,16.4,0.28,3.6,297,25
4.4,7.3,65,16,87,7.4,33.6,62,16.3,0.24,3,301,18
4.9,9.6,64,16,83,10.1,39,67,15.6,0.26,3.2,288,10
5.4,11.4,65,15.9,76,4.7,24.1,61,16,0.22,2.3,280,4
5.4,10,65,15.8,80,11.3,25.8,60,16.1,0.22,1.9,283,3
4.6,5.2,66,15.5,90,10.1,30.6,63,15.9,0.25,0.9,189,2
5.1,8.3,72,15,77,10.9,57.6,80,14.5,0.34,1.2,147,2
6.9,10.9,87,13.9,58,7,50,90,13.4,0.27,1.7,173,2
7.7,10.1,89,13.6,60,11.3,32.2,91,13.1,0.28,2.5,147,2
7,7.2,90,13.2,68,6.6,31.3,93,13,0.25,1.9,125,2
6.9,5.8,92,13.1,69,7,22.5,94,12.8,0.23,1.8,138,3
7.1,5,94,12.9,69,6.2,13.4,95,12.6,0.22,1.9,141,2
7.3,3.8,94,12.7,71,9.3,12.8,96,12.5,0.17,2.2,146,3
7.9,3.4,95,12.7,69,3.7,9.8,95,12.5,0.19,1.8,150,2
8.3,3.2,95,12.7,67,10,13.9,96,12.6,0.18,1.8,117,2
8.5,3.5,96,12.6,65,8.6,10,96,12.5,0.17,2,146,2
8.2,2.5,96,12.5,65,2.8,NaN,97,12.4,0.19,1.4,150,3
7.9,2.4,96,12.6,64,2.9,10.2,96,12.3,0.17,1.7,145,2
7.9,2.7,96,12.5,66,8.7,7.5,95,12.3,NaN,1.5,91,2
8.6,4.1,96,12.5,62,4.4,10.8,94,12.5,0.18,1,13,3
NaN,3.7,96,12.5,61,5.2,21.1,95,12.5,0.18,1.8,317,2
8.4,5.2,96,12.7,51,8.5,23.1,94,12.8,0.19,1.7,287,6
10.9,6.1,96,12.7,46,7.2,31,93,12.7,0.23,0.8,253,12
13.8,6.1,96,12.7,45,11.6,116.4,93,12.9,0.46,1.2,226,35
15.3,12.5,96,12.8,37,15.7,121.6,92,13,0.49,1.4,279,48
15.5,22.6,96,13.1,23,18.8,120.3,93,13.1,0.48,1.1,297,54
17,31.9,96,13.5,13,21.5,167.4,91,13.5,0.62,0.7,215,95
15.1,42.8,94,13.7,15,27,151.9,87,14.1,0.58,0.8,243,182
14.3,30.7,91,13.9,26,19.9,129.6,83,14.3,0.37,0.5,261,156
14.1,26.3,91,13.9,24,20.9,138,81,14.6,0.43,0.6,279,151
14.5,24.6,89,14.2,29,21.8,36,78,14.8,0.21,0.8,187,247
14.5,15.5,85,14.9,43,17.3,75,77,15.2,0.28,1.1,195,239
13.5,14.6,79,15.6,52,22.9,88.6,74,16.2,0.38,1.3,174,577
12.1,12.3,76,16.3,54,14.3,84.3,73,16.1,0.31,1.2,258,357
11.7,10,73,16.7,59,17.7,67.2,68,17,0.29,0.9,25,569
11.4,7,66,17.2,75,18.1,59.5,64,17.5,0.29,1.3,282,377
11,6.3,69,17,71,9.8,41.4,63,17.4,0.23,1.4,308,125
12.2,6.7,71,16.7,66,5.2,70,65,17.1,0.41,0.9,261,127
12.9,9.9,66,17.7,68,29.3,92.1,61,18.1,0.35,1.1,202,416
11.1,7.3,65,17.7,73,34.7,57.6,60,18,0.3,0.5,214,369
11,9.8,64,18.1,68,12,26.4,58,18.4,0.21,0.8,213,489
9.3,7.3,60,18.6,76,16.7,53,56,18.9,0.26,2.2,248,326
8.9,7.8,58,18.6,80,14.7,44.6,53,18.9,0.25,2.7,276,296
8.4,8.6,54,18.6,83,9,51.3,49,19,0.29,3.2,263,292
NaN,NaN,56,18.9,89,14.7,59.6,49,19.5,0.51,3.9,265,453
NaN,6.1,58,18.7,89,21,42.2,51,19.6,0.31,3.3,275,434
NaN,5,60,18.5,88,13.8,46.5,54,19.1,0.29,2.3,303,228
11.9,7,58,18.5,86,6.6,45.6,53,19.2,0.29,1.4,282,230
11.9,7.3,57,18.4,88,17.5,35.1,51,19,0.32,1.8,319,192
12.7,7.8,62,17.8,80,14.6,40.8,55,18.1,0.32,1.8,316,52
15.1,8.3,69,16.9,NaN,18.3,79,65,16.8,0.48,1.7,314,28
15.8,10.7,70,16.4,66,31.3,115.4,68,16.3,0.54,0.9,240,11
19.3,20.9,73,16.1,35,27.3,110.8,70,16,0.49,1.3,294,4
20,30.7,73,16.2,28,28.3,41.2,67,16.5,0.32,1.9,343,2
18.6,10.8,70,16.4,71,26.8,53.1,68,16.3,0.36,1.9,360,3
16.3,7.5,71,16.3,75,22.1,33.8,63,16.8,0.24,2,323,2
17.7,7.7,74,15.8,68,15.9,25.8,68,16.3,0.23,1.5,341,2
17.6,6.8,76,15.5,70,18.6,23,72,15.8,0.27,2.1,336,2
19.4,6,79,15.3,67,14.8,18.3,73,15.7,0.29,1.3,359,2
17.4,5.9,78,15.2,68,9.4,20.1,74,15.5,0.22,1.6,161,2
15.4,5,81,14.9,59,13,22,85,14.6,0.23,1.3,150,2
19.1,6.6,84,14.7,49,13.8,17.9,88,14.1,0.23,1.6,157,2
24.4,10.2,87,14.4,35,16.1,15.7,87,14,0.2,1.1,134,2
25.4,10.6,87,14.2,40,13.7,16.5,87,14,0.19,1.6,142,2
24.1,6.1,87,14,52,20.4,15.7,88,13.8,0.19,1.7,147,1
24.8,6.1,88,14,48,13.8,16,88,13.8,0.19,1.9,134,1
24.6,6.5,88,14,43,19.6,NaN,89,13.7,0.19,1.7,151,1
26.2,5.9,89,14,40,18.4,22,90,13.6,0.21,1.4,148,2
NaN,7.4,88,14,34,20.1,32.9,90,13.6,NaN,1.9,144,5
23.5,9.5,90,13.8,26,21.1,64.4,90,13.7,0.29,1.4,146,15
26,11.8,89,14.1,23,25.5,86.3,89,13.9,0.35,1.2,144,30
25.6,15.6,87,14.3,20,33.7,125.9,87,14.1,0.5,0.8,139,60
NaN,17.1,85,14.7,23,37.4,164,84,14.8,0.68,1.5,145,131
21.3,19.3,83,15.2,22,41.9,116,83,14.8,0.55,1.4,146,134
18,20.8,80,15.5,24,35.5,94.2,80,15.3,0.4,1.8,208,141
11.3,17.8,81,15,42,23.6,48.7,80,14.7,0.27,2.5,230,108
9.2,12.8,78,15.4,66,22.9,102.4,76,15.2,0.32,1.9,212,209
8.7,10.2,78,15.5,63,22.2,107.1,75,15.5,0.45,2.1,166,179
8.9,10.6,77,16.1,59,20.6,123.1,74,16,0.51,2.3,168,296
9.1,12.7,72,17.1,64,15.1,94.3,68,17.1,0.41,2.7,159,528
9.8,15.9,72,17.2,64,15.6,98.6,67,17.3,0.4,3.7,149,425
9.6,17.3,65,19.1,75,16.1,73,61,18.8,0.34,2.7,136,916
11.3,6.8,68,18.1,92,19.9,55.9,59,19.1,0.34,2.4,141,517
11.9,9.4,68,18.5,87,21.9,84.9,65,17.8,0.44,1.7,163,252
10.5,7,62,19.5,95,23.9,83.3,56,19,0.37,2.7,216,772
8.5,5.9,59,18.8,101,19.6,82.1,56,19.4,0.32,4.8,234,700
7.7,23.1,54,19.6,92,13.9,53.7,46,20.4,0.26,5.2,223,777
8.1,43.5,54,18.9,78,8.4,79.5,45,19.9,0.37,3.9,222,316
8.9,17.8,54,18.9,94,15.5,91.8,45,19.7,0.37,2.1,219,164
9.2,6,52,19.6,107,22.5,77.6,49,20,0.46,0.8,172,281
9.6,5.4,55,19.3,103,25.1,116,49,19.9,0.56,1.3,160,139
NaN,7.4,56,19.8,97,16.5,121,50,20.2,0.56,1.5,138,233
11.2,9.4,58,19.7,90,33.3,109,47,20.2,0.55,2,125,252
11.1,9.4,55,19.6,94,18.6,144.5,46,20.4,0.62,1.8,135,192
10.1,NaN,52,19.9,95,27,126.8,45,21.1,0.63,2.4,135,397
10.3,9,53,20.1,96,30.2,122.3,43,21.5,0.57,3,144,312
10.1,7.1,53,19.7,99,10.4,108.8,46,20.8,0.5,2.5,140,177
11.2,9.5,54,19.8,89,7.9,74.1,50,20.5,0.49,2.9,151,153
13,12.9,60,18.9,75,20.4,74.7,54,19.5,0.52,2.5,143,73
12.9,11.3,60,18,82,19.6,81.5,57,18.6,0.55,2.1,146,18
14.2,9.9,63,17.5,NaN,25.1,95.1,60,17.9,0.58,2.1,164,3
NaN,12.8,66,16.6,70,25.8,77.2,64,16.8,0.49,1.8,154,2
16.5,17.2,71,15.6,54,21.1,80.3,67,16.1,0.45,2.6,158,2
18.2,15,76,15,48,20.4,63.5,71,15.4,0.34,3.2,146,2
17.8,12.6,78,14.3,50,21,51.6,75,14.7,0.28,3,160,2
18.4,10.6,78,14.2,51,20.9,32.7,77,14.2,0.27,3,159,2
18.3,8.7,78,13.9,55,14.8,37.5,78,13.9,0.26,2.8,151,2
17.6,7,77,13.9,57,14.4,27.6,78,13.6,0.21,3.2,147,2
17.1,6.5,78,13.6,59,16.3,21.9,77,13.4,0.21,2.9,146,2
16,4.9,77,13.5,65,11.7,21.9,76,13.3,0.19,2.9,148,2
16.2,4.2,74,13.8,66,14.2,20.5,77,13,0.19,3.4,143,2
NaN,3.9,75,13.5,65,14,12.4,79,12.5,0.18,4.2,142,2
15.3,3.6,77,13,63,17.8,17.8,76,12.7,0.17,4.4,140,2
15.1,3.8,79,12.6,61,18,17.6,75,12.9,0.17,4.1,142,2
15,4,77,12.6,61,15.8,13.1,75,12.7,0.18,4.5,141,3
NaN,3.5,76,12.7,62,16.1,19.1,75,12.7,0.17,3.9,143,3
15.2,3.8,74,13,63,9,NaN,74,12.6,0.2,4.2,146,10
13.9,4.9,72,13.3,61,18,38.8,74,12.6,0.21,4.4,145,24
12.9,5.1,70,13.9,61,17.2,70.3,72,13.1,NaN,4.9,143,40
11.9,7.2,67,14.4,59,28.8,84.8,69,13.8,0.44,4.2,147,115
11.2,9.4,65,15.3,58,29.5,108.7,65,15.2,0.49,4.7,144,260
11.8,39.3,63,15.8,45,26.9,121.9,58,16.8,0.55,4.9,145,345
11,59,60,16.6,45,20.8,NaN,54,17.8,0.44,4.5,146,426
10.3,16.3,57,17.7,68,25.2,NaN,51,18.9,0.37,4.2,149,508
11.2,9.3,53,19.1,77,24.7,NaN,48,20,NaN,4,150,590
10.8,19,48,21.5,71,19.6,87.6,45,20.9,0.35,3.2,150,665
10.8,37.4,46,22.7,65,22.8,100.6,42,22.1,0.38,3.4,140,729
9.8,11.8,45,23,91,24.9,87.7,41,22.8,0.3,3.1,143,785
9.6,9.4,41,24.4,99,23.3,86.1,38,24,0.34,2.7,131,833
9.6,11.1,36,25.4,106,23,66.6,33,24.8,0.32,1.9,119,867
7.2,4.9,34,25.7,111,20.6,86,28,25.9,0.34,2.1,95,898
6.2,3,32,26.3,110,10.4,64.3,26,26.3,0.33,2,120,912
6.6,2.2,31,26.6,114,12,66.7,26,26.6,0.34,2.1,141,914
6.9,5,31,26.6,110,9.2,68.5,26,27.3,0.33,1.9,97,902
6.8,4.4,32,26.6,106,6.7,62.6,27,27.2,0.31,1.5,170,882
7.6,4.1,31,26.9,114,6.9,54.1,29,27.2,0.3,2.5,6,856
7.7,2.7,33,26.6,118,12.6,71.1,28,27.5,0.39,2.7,14,816
10.3,10.1,32,27,110,9.4,46.8,28,27.7,0.3,3,24,765
9,3.9,32,27.1,117,4.4,41.2,28,27.8,0.32,2.6,13,703
11,5.5,34,27,121,6.5,56.7,28,28.3,0.3,2.5,7,620
NaN,5.6,36,26.7,127,11.2,61.3,28,28.6,0.37,2.9,11,554
12.9,4.5,36,26.6,129,11.7,39.5,28,28.2,0.27,3.3,21,471
13.5,5.7,37,26.6,125,11.4,36.8,29,27.9,0.25,2.9,27,385
12.3,6.8,36,26.5,120,11.1,47.1,31,27.8,0.3,2.9,22,298
13.1,NaN,37,26.3,126,9,35,33,27.1,0.36,3,47,218
15,6.1,41,25.5,126,11.2,34.3,36,26.5,0.26,2.8,39,145
16,7.3,43,24.7,122,12.9,44.2,40,25.2,0.3,2.7,32,78
16.4,8.1,45,23.9,117,17.9,43.5,47,23.1,0.34,1.5,51,18
16.7,8.2,48,22.9,109,19.9,37.3,50,22.5,0.29,1.1,185,5
17.8,9.5,54,21.6,98,24.9,111.8,52,22.2,0.69,1.3,209,2
21.4,20.8,63,20.1,NaN,22.9,81.5,54,20.8,0.5,1.5,159,3
20.9,20.8,63,19.4,57,26.3,72.2,56,20.1,0.41,0.5,157,2
21,17.1,64,18.8,58,24.6,63.2,60,19.4,0.4,0.5,174,3
23,19.1,68,18.1,47,23.2,49.2,63,18.7,0.34,0.4,215,2
23.2,15.5,70,17.5,49,22.4,46.7,66,18.1,0.28,1.1,161,3
22.9,14.1,71,17.1,48,22.5,59.4,68,17.6,0.3,2,146,3
23,14.7,73,17,45,22.7,41.7,72,16.9,0.25,2.4,139,2
20.3,9.8,67,17.7,53,20.1,44.5,68,17.3,0.23,3.2,160,3
17.3,7,64,17.9,60,19.9,22.6,63,17.6,0.19,3.6,148,3
19.2,7.3,63,18.6,61,20.3,16.1,61,18.7,0.19,3.5,256,3
20.3,7,70,19.1,55,25.8,8.2,66,19.5,0.16,10.2,285,3
11.6,4.4,68,18.3,61,22.4,6.8,65,18.6,0.14,8.3,296,3
9.3,6.2,75,17.1,56,2.9,8.4,72,17.4,0.14,4.4,322,3
8.8,5.3,76,16.6,63,1.7,8,76,16.6,0.14,4.9,300,3
8.4,6.8,78,16.3,66,0.4,16.2,75,16.5,0.18,5.4,291,3
7.9,7.1,75,16.1,72,4.4,18.4,72,16.4,0.15,5,303,6
8,12.9,77,15.9,60,2.3,NaN,74,16.1,0.17,4.5,314,14
7.1,8,80,15.6,67,10.2,44.3,75,15.9,0.25,4.2,322,22
8.1,17.1,80,15.5,50,17.5,61.7,76,15.8,NaN,3.4,320,43
8.5,20.9,81,15.6,54,17.9,64.3,76,15.9,0.38,4,312,58
7.3,8.7,81,15.4,69,14.3,43.4,77,15.7,0.22,4,312,50
7.5,7.9,83,15,72,13.8,43.6,79,15.3,0.24,4.5,302,72
7.9,8.1,83,14.9,71,9.4,47.2,81,14.9,0.23,3.5,304,89
6.7,6.7,79,15.4,69,10.5,49.7,79,15.3,0.23,3.1,312,156
NaN,6,83,14.8,67,16.5,38.3,87,14.7,0.22,3,307,177
7,7.2,83,14.9,67,1.9,46.4,86,14.3,0.25,3,319,130
7.4,8.4,76,16.1,70,9.9,54.3,80,15.6,0.25,1.8,320,268
6.8,3.6,74,16.2,79,23.2,96,75,16.3,0.36,0.9,344,357
6.5,4.9,72,16.3,75,17.4,72.7,73,16.5,0.37,1.6,321,357
7.9,5.5,76,16.1,61,11.8,42.4,72,16.2,0.29,3.6,325,267
10.2,9.2,77,15.6,52,4.6,50.4,76,15.8,0.32,3,341,296
11,10.2,75,16.1,53,18.6,42.4,74,16.1,0.3,2.6,356,341
11.5,8.9,74,16.5,56,19.1,43.4,73,16.3,0.28,3,333,198
NaN,6,75,16.4,61,7.6,38.1,72,16.5,0.3,2.7,312,159
NaN,5.2,75,16.6,62,11.8,45.3,71,16.9,0.3,2.2,271,147
13.7,6.1,75,16.8,61,17.2,45.5,71,17.1,0.25,2.4,243,145
14.2,6.5,75,16.9,58,13.3,40.1,72,17,0.25,2.1,257,105
15.6,8.5,74,17.2,56,13.7,33.4,73,16.9,0.26,2.1,254,102
17.9,11.7,78,16.8,47,13.5,83.9,75,17.1,0.43,2.3,223,40
20.2,12.9,84,16.5,41,10.1,105.8,83,16.5,0.62,1.8,220,126
20.4,18.3,82,16.8,35,19.8,87.7,81,16.7,0.37,0.8,223,177
20.9,17,80,16.9,39,21.4,73,80,16.7,0.36,0.5,174,120
19.4,15.4,82,16.8,38,19.6,116,80,17,0.61,0.6,214,64
17.3,14.7,80,16.7,39,24.2,57.6,81,16.6,0.36,0.8,233,26
21.5,NaN,86,16.1,28,19.1,78.4,86,16.3,0.41,1.5,156,31
23.9,21.5,92,15.7,22,20.8,63.5,90,15.8,0.33,1.9,133,37
18.3,11.7,91,15.1,38,13.5,75.6,87,15.8,0.38,2.5,116,5
18.7,18.9,93,14.9,18,14.2,67.3,89,15.2,0.35,1.1,102,3
21.1,24.2,94,14.5,7,16.5,35.3,91,14.8,0.27,1.2,21,2
19.8,20.5,95,14.3,13,15.9,42.6,89,14.9,0.32,2.9,287,1
NaN,16,95,14.4,NaN,14.6,40.8,91,14.8,0.29,2.8,273,3
19.6,9.6,93,14.5,27,22.8,26.3,90,14.9,0.22,3.3,304,3
14.4,7.8,95,14.3,26,19.1,57.3,92,14.5,0.32,1.7,177,3
14.1,9.8,96,14.3,28,15.4,63.9,96,14.3,0.27,2.5,136,3
15.8,8.5,96,14.4,33,15.4,46.8,95,14.4,0.28,3.6,154,3
16.7,7.8,95,14.5,34,16.4,34,94,14.4,0.22,3.2,131,2
14.6,6.5,95,14.6,34,18.5,24.6,93,14.6,0.2,2.7,160,2
15.3,6.8,95,14.6,30,17,26.2,91,14.7,0.22,2.1,167,2
15.3,8.7,95,14.6,22,19.6,31.5,90,15,0.22,1.3,244,2
16,10,96,14.5,16,20.3,33,93,14.7,0.2,1.6,179,2
18.3,9.3,96,14.5,17,16.4,31.7,94,14.5,0.22,1.5,163,2
17.3,8.5,96,14.3,15,17.3,25.8,96,14.3,0.2,1.7,138,2
17.3,9.5,97,14.2,13,13.8,33.1,94,14.6,0.25,0.9,141,5
19.7,12.2,96,13.9,8,14.5,35.7,93,14.7,0.25,0.3,221,22
24.6,11.6,97,13.9,11,16.4,31.9,94,14.6,0.21,0.8,306,49
23.2,12.2,97,14,11,20.3,49.1,93,14.8,0.25,0.8,329,98
18.9,16.5,97,14.5,10,21.9,NaN,90,15.6,0.28,0.5,314,246
NaN,17.5,95,15.6,16,18.7,50.8,85,16.9,0.3,0.5,129,335
9.8,19.1,90,16.8,16,10.6,55.4,82,17.8,NaN,1.8,148,413
4.8,13.2,86,18.3,20,9.1,64.1,76,19.3,0.46,2.2,146,492
3.5,9.1,76,20.2,29,8.3,69.5,72,20.2,0.33,1.6,138,573
3.1,7.5,70,21.6,39,3.1,63.1,66,21.7,0.52,1.1,119,658
3.5,5.8,65,22.5,49,11,67.7,62,22.6,0.35,1,173,704
3.7,3.6,56,23.1,67,6.8,24.5,54,23.4,0.24,1.2,328,651
4.4,4.2,58,22.7,67,0.6,26.4,51,23.4,0.24,2.1,338,767
5.1,4.4,56,23.8,71,8.8,38.3,50,23.6,0.3,2,350,847
5.6,3.1,57,23.9,74,14.9,27.9,51,24.2,0.25,3.1,330,891
5.6,2.2,55,24.4,80,10.4,28.7,52,24.9,0.27,2.5,351,920
6,1.6,55,25,84,8.9,29.8,49,25.3,0.3,2.5,320,761
6,1.3,54,25.2,86,0.7,25.3,49,25.1,0.23,2.2,343,681
6,1.2,52,24.9,88,0.3,29.1,49,25.4,0.32,1.5,354,457
6.3,1.7,50,25.8,92,7.7,31.2,46,26.2,0.3,3.4,313,794
6.4,1.4,51,25.7,94,16.3,20.7,44,26.3,0.22,2.9,303,735
6.3,1.4,48,26,100,3.7,20.7,44,26.4,0.23,2.8,324,597
5.8,1,43,26.2,103,11.8,27.1,39,27,0.23,2.3,336,627
6.2,1.1,46,25.7,104,5.7,29.7,39,27.3,0.39,1.4,19,572
7,1.5,49,25.4,103,2.1,21.7,42,26.5,0.26,3,335,343
7.6,1.6,49,25.6,103,0.4,34.9,43,26.2,0.31,1.4,9,260
8.1,2.1,49,25.8,103,11.4,53.3,42,26.8,0.47,1.2,86,389
8.4,2.6,51,25.4,99,17.3,58.7,41,26.6,0.37,0.5,171,224
8.4,3.3,52,25.3,98,7.9,61.6,44,26.1,0.42,1.3,146,153
9.8,5.9,56,24.9,80,16.1,82.3,53,25,0.58,2.5,141,69
10.4,9.1,59,23.8,72,22.7,68.5,56,24.1,0.42,3.4,142,23
10.7,7.3,62,22.9,73,18.6,54.4,58,23.2,0.34,3.4,143,9
9.8,NaN,62,22.3,81,14.9,45.7,58,22.7,0.29,3.6,146,4
9.9,5,65,21.8,80,10.8,41.6,62,22.1,0.28,3.3,143,3
9.7,4.3,67,21.4,79,13.1,42.1,62,21.9,0.31,3.1,138,3
9.3,3.9,72,20.7,76,16.4,35.3,64,21.4,0.26,1.7,105,2
9.3,6.1,74,20.1,69,9.2,70.3,69,20.7,0.4,2.4,146,2
10.2,6.8,80,19.5,64,13.4,26.6,73,20.1,0.21,3.7,237,2
12.1,6,90,18.6,NaN,17.4,62.7,86,18.9,0.33,1.6,116,2
11.8,7.5,95,18,44,16.7,42.5,91,18.3,0.24,2,147,3
11,6.9,95,17.7,46,8.4,36,92,17.9,0.23,3.2,154,3
10.4,4.8,94,17.6,53,10.9,33.9,90,18,0.21,4,147,2
8.8,3.3,91,17.5,60,11.8,27.2,87,17.9,0.22,3.8,146,2
8.9,3.3,90,17.5,59,11.4,31.3,88,17.6,0.2,3.1,158,1
10.1,3,89,17.5,55,13,25,91,17.2,0.19,2.4,141,1
10.5,3.2,89,17.4,52,8.3,31.5,89,17.2,0.18,2.3,155,1
11.3,5.1,89,17.4,48,8.3,25.3,89,17.1,0.2,2.9,142,2
10.7,4.2,87,17.5,53,13.1,21.1,89,17.2,0.2,2.7,157,2
11.2,4.7,88,17.4,49,13.3,18.8,89,17.1,0.17,2.2,173,5
11.2,3.2,89,17.3,44,11.7,16,89,17.1,0.18,2.9,153,19
9.5,3.1,87,17.4,48,10.9,10.3,88,17,0.17,2.6,158,26
8.5,3.3,88,17.4,42,12.5,14.7,85,17.4,0.18,2.5,163,71
7.7,4,85,17.9,44,10.1,18.5,85,17.8,0.21,1.8,158,174
7.5,3.8,84,18.4,43,17.5,20.8,80,18.7,0.18,2.2,160,230
7.3,3,79,19.4,45,18.8,NaN,74,19.8,0.22,1.9,154,354
6.9,3.7,74,20.4,50,14.9,24.5,70,20.7,0.21,1,256,492
6.8,3.6,67,21.8,58,5.8,24.8,66,21.3,NaN,0.7,208,522
7.3,3.8,63,22.6,67,4.2,26,60,22.4,0.21,1,292,595
NaN,4.1,64,22.3,73,6,23.3,60,22.6,0.2,1.8,313,634
9.1,2.4,66,22.2,76,6.8,19.5,58,22.7,0.22,2.1,331,675
9.7,1.3,66,22.8,74,12.2,18.5,59,23,0.23,1.9,331,787
9.6,1.2,60,23.3,83,15.8,24.2,56,23.7,0.26,1.7,351,840
9.5,1.3,57,24,89,10.6,17.5,53,24.3,0.22,2.2,333,868
9.4,1.2,56,24.8,91,15.9,26.8,53,24.6,0.26,2.6,305,909
9.7,1.2,57,25.2,89,11,17.8,53,25.2,0.34,2.1,339,892
10.2,1.2,59,25.5,87,19.1,16,53,25.9,0.24,2.8,328,881
10.3,1.2,57,26.2,90,12.6,17.9,52,26.3,0.24,1.9,310,859
NaN,1.7,57,26.2,92,7.9,18.8,52,26.7,0.23,2.6,318,834
10,1.4,55,26.8,93,7.3,17.9,52,26.8,0.26,2.8,317,799
9.5,1.6,51,27.4,96,5.3,31.4,49,27.3,0.26,3.2,330,752
NaN,1.4,49,27.5,97,2.7,20.6,47,27.4,0.24,3.3,329,682
10.6,0.9,50,26.8,98,2.8,26.3,44,27.8,0.22,2.5,355,611
11.3,1.3,50,26.7,100,6.2,20.1,44,27.7,0.24,3.7,325,534
11.9,1.1,48,26.8,101,1,19.9,44,27.5,0.25,3.7,326,451
12.2,1.1,49,26.7,100,2.3,22.8,44,27.3,0.31,3.5,328,360
13.4,1.7,51,26.4,99,5.8,32.3,46,26.9,0.32,3.8,328,192
14.3,2.5,53,25.9,99,12.2,33.2,48,26.5,0.3,3.3,330,176
14.5,2.7,55,25.3,102,17.5,25.6,51,25.7,0.28,2.1,354,73
16,3.4,60,24.3,98,14.1,27.6,56,24.5,0.27,1.5,16,46
16.9,4.5,63,23.5,93,17.4,26.2,62,23.5,0.3,1,344,20
18.2,7.5,67,23,79,17.1,23.8,63,23.1,0.32,1.6,281,5
19.4,10.8,70,22.4,64,23,41.3,65,22.9,0.32,1.7,258,3
18.5,NaN,73,21.9,57,24,53.1,66,22.9,0.4,1.9,244,2
17.3,12.9,74,21.7,51,24.4,52.1,69,22.4,0.36,1.9,200,2
16.2,14.5,76,21.4,42,29,37.6,74,21.9,0.31,0.8,176,2
15,12.3,78,20.8,47,26.1,23.3,80,21,0.24,1.7,138,2
13.3,8,82,20.5,53,18.4,11.6,85,20.3,0.22,1.4,141,2
12.7,4.8,85,20.2,57,16,14.9,87,19.8,0.2,2.5,164,2
11.8,4.7,86,19.9,NaN,18.8,11.1,87,19.6,0.22,2.4,146,2
11.6,5.9,87,19.5,48,16.7,10,88,19.4,0.2,2.3,143,1
12.6,5.4,88,19.3,46,18.5,8.6,89,19.1,0.18,1.9,164,1
NaN,5.5,88,18.7,43,13.5,11.3,86,19.1,0.19,2.4,147,1
15.3,5.2,89,18.2,41,15.5,10.6,83,19.3,0.18,3.1,138,1
15.9,4.7,89,18.4,43,14.5,10.7,84,19,0.18,2.9,150,1
17.2,5.7,88,18.6,38,17.9,13.9,86,18.7,0.19,2.4,155,2
17.6,6.1,88,18.5,36,18.2,14,86,18.7,0.22,2.9,154,2
16.2,6.9,86,18.7,34,18.8,43.3,85,18.9,0.35,3.3,137,6
15.3,9.1,86,18.7,29,16.7,53.5,83,19.1,0.32,2.9,151,19
14.2,12.7,82,20,23,27.8,60,80,19.7,0.36,3.8,144,36
13.5,11.5,79,20.7,29,28,126.3,78,20.2,0.64,4.6,145,100
13.7,13.9,75,21.7,35,37.4,141.3,72,21.8,0.74,4.7,148,231
14.7,16.2,70,22.6,41,37,137.4,65,23.4,0.67,4.8,145,320
15.9,13.5,67,23.1,48,29.9,89.5,61,24.5,0.46,4.4,144,398
19.4,25.1,62,24.4,54,25.9,98.7,56,25.6,0.46,4.4,148,483
19.5,8.3,59,25.7,64,26.9,NaN,53,26.4,0.35,5.1,147,564
20.4,24.4,55,26.9,66,21.4,81.7,50,27.3,0.35,4.4,141,637
22.5,9.5,52,28.3,71,21.2,87.9,48,28.3,NaN,3.3,135,701
